testcase,cameratype,hostname,ipconfig,ipaddress,subnetmask,gateway,dns,preferreddns,alternatedns,backtooriginalip,ipfilterenable,filtertype,ipfrom,ipto,nasenable,nasname,nasip,nasuser,naspassword,nasformat,nasfolder,httpport,rtspport,httpsport,httpsstreamport,rtpport,rtcpport,portmapping,externalrtsp,multicastenable,multicastaddress,ttl,valdiationmessage
tc22_port_access,2mp|5mp|8mp,,,,,,,,,,,,,,,,,,,,,7811,,,,,,,,,,,
tc23_port_restore,2mp|5mp|8mp,,,,,,,,,,,,,,,,,,,,,80,554,443,1024,5000,50001,false,554,,,,
tc24_portmapping_enable,2mp|5mp|8mp,,,,,,,,,,,,,,,,,,,,,,,,,,,true,554,,,,
tc24_portmapping_disable,2mp|5mp|8mp,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,
tc25_httpport_zero,2mp|5mp|8mp,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
tc25_httpport_above,2mp|5mp|8mp,,,,,,,,,,,,,,,,,,,,,65536,,,,,,,,,,,
tc25_httpport_alpha,2mp|5mp|8mp,,,,,,,,,,,,,,,,,,,,,abc,,,,,,,,,,,
tc25_httpport_empty,2mp|5mp|8mp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tc26_rtspport_above,2mp|5mp|8mp,,,,,,,,,,,,,,,,,,,,,,65536,,,,,,,,,,
tc26_rtspport_alpha,2mp|5mp|8mp,,,,,,,,,,,,,,,,,,,,,,abc,,,,,,,,,,
tc27_multicast_enable,2mp|5mp|8mp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,234.255.255.255,250,
tc28_multicast_disable,2mp|5mp|8mp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,
tc29_multicast_invalid_addr,2mp|5mp|8mp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,999.999.999.999,250,
tc30_ttl_min,2mp|5mp|8mp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,234.255.255.255,1,
tc30_ttl_max,2mp|5mp|8mp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,234.255.255.255,255,
tc30_ttl_set,2mp|5mp|8mp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,234.255.255.255,128,
tc30_ttl_zero,2mp|5mp|8mp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,234.255.255.255,0,
tc30_ttl_above,2mp|5mp|8mp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,234.255.255.255,256,
tc30_ttl_alpha,2mp|5mp|8mp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,234.255.255.255,abc,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
